Distance_(pixels),Gray_Value,
265,3.134,0.015722671
266,3.335,0.016731049
267,3.094,0.015521999
268,3.616,0.018140772
269,3.089,0.015496915
270,2.942,0.014759444
271,3.371,0.016911654
272,3.196,0.016033713
273,3.103,0.01556715
274,2.982,0.014960116
275,3.339,0.016751116
276,3.04,0.015251091
277,2.826,0.014177495
278,2.933,0.014714293
279,2.996,0.015030352
280,3.737,0.018747805
281,2.692,0.013505243
282,3.344,0.0167762
283,3.464,0.017378217
284,3.317,0.016640747
285,3.214,0.016124015
286,3.464,0.017378217
287,3.223,0.016169167
288,3.268,0.016394923
289,3.299,0.016550444
290,3.317,0.016640747
291,3.205,0.016078864
292,2.875,0.014423318
293,2.92,0.014649074
294,3.442,0.017267847
295,3.482,0.01746852
296,3.344,0.0167762
297,3.196,0.016033713
298,3.196,0.016033713
299,2.705,0.013570461
300,3.04,0.015251091
301,3.022,0.015160789
302,3.451,0.017312999
303,3.366,0.01688657
304,3.469,0.017403301
305,3.286,0.016485226
306,3.036,0.015231024
307,3.237,0.016239402
308,3.143,0.015767822
309,3.272,0.01641499
310,3.388,0.01699694
311,3.531,0.017714343
312,3.295,0.016530377
313,3.402,0.017067175
314,3.451,0.017312999
315,2.879,0.014443385
316,3.469,0.017403301
317,3.192,0.016013646
318,3.277,0.016440074
319,2.982,0.014960116
320,3.603,0.018075553
321,3.589,0.018005318
322,3.013,0.015115637
323,2.933,0.014714293
324,3.576,0.017940099
325,2.897,0.014533688
326,2.888,0.014488537
327,3.054,0.015321326
328,2.862,0.0143581
329,2.897,0.014533688
330,3.424,0.017177545
331,3.357,0.016841419
332,3.134,0.015722671
333,3.116,0.015632368
334,2.759,0.013841369
335,3.504,0.017578889
336,3.536,0.017739427
337,2.929,0.014694226
338,2.857,0.014333016
339,3.188,0.015993578
340,3.116,0.015632368
341,2.884,0.014468469
342,2.96,0.014849747
343,3.205,0.016078864
344,2.929,0.014694226
345,3.04,0.015251091
346,2.996,0.015030352
347,3.107,0.015587217
348,3.254,0.016324688
349,3,0.015050419
350,3.679,0.01845683
351,2.884,0.014468469
352,3.491,0.017513671
353,2.848,0.014287864
354,3.192,0.016013646
355,3.71,0.018612351
356,3.254,0.016324688
357,3.08,0.015451763
358,3.446,0.017287915
359,2.902,0.014558772
360,3.125,0.01567752
361,3.312,0.016615662
362,3.696,0.018542116
363,3.054,0.015321326
364,3.027,0.015185873
365,2.964,0.014869814
366,2.719,0.013640696
367,2.884,0.014468469
368,3.071,0.015406612
369,3.067,0.015386545
370,2.951,0.014804595
371,3.491,0.017513671
372,3.152,0.015812973
373,3.232,0.016214318
374,3.009,0.01509557
375,3.406,0.017087242
376,3.054,0.015321326
377,2.786,0.013976822
378,3.116,0.015632368
379,2.871,0.014403251
380,3.071,0.015406612
381,3.496,0.017538755
382,3.232,0.016214318
383,3.335,0.016731049
384,3.295,0.016530377
385,3.147,0.015787889
386,3.031,0.01520594
387,3.554,0.01782973
388,4.295,0.021547183
389,3.33,0.016705965
390,3.451,0.017312999
391,3.201,0.016058797
392,3.022,0.015160789
393,3.348,0.016796267
394,3.371,0.016911654
395,3.509,0.017603973
396,3.848,0.019304671
397,4.027,0.020202679
398,3.701,0.0185672
399,3.558,0.017849797
400,3.143,0.015767822
401,3.612,0.018120704
402,3.076,0.015431696
403,3.442,0.017267847
404,3.286,0.016485226
405,3.906,0.019595645
406,3.763,0.018878242
407,3.371,0.016911654
408,3.46,0.01735815
409,3.714,0.018632419
410,3.384,0.016976873
411,3.277,0.016440074
412,3.75,0.018813024
413,3.54,0.017759494
414,3.246,0.016284553
415,3.665,0.018386595
416,3.58,0.017960167
417,3.915,0.019640797
418,3.777,0.018948477
419,3.594,0.018030402
420,3.652,0.018321377
421,3.585,0.017985251
422,4,0.020067225
423,3.812,0.019124066
424,4.071,0.020423418
425,3.946,0.019796318
426,3.821,0.019169217
427,3.982,0.019976923
428,3.786,0.018993629
429,3.683,0.018476898
430,3.835,0.019239452
431,3.982,0.019976923
432,3.625,0.018185923
433,4.201,0.021075603
434,3.42,0.017157478
435,4.299,0.02156725
436,3.875,0.019440124
437,4.161,0.020874931
438,3.879,0.019460192
439,3.393,0.017022024
440,3.571,0.017915015
441,4.161,0.020874931
442,3.438,0.01724778
443,4.406,0.022104049
444,3.545,0.017784578
445,3.982,0.019976923
446,4.054,0.020338133
447,3.737,0.018747805
448,4.312,0.021632469
449,4.455,0.022349872
450,3.656,0.018341444
451,4.112,0.020629108
452,4.518,0.022665931
453,4.674,0.023448553
454,4.281,0.021476948
455,3.942,0.01977625
456,3.879,0.019460192
457,4.205,0.02109567
458,3.893,0.019530427
459,3.897,0.019550494
460,4.027,0.020202679
461,4,0.020067225
462,3.96,0.019866553
463,4.438,0.022264586
464,4.036,0.02024783
465,3.911,0.019620729
466,3.951,0.019821402
467,3.71,0.018612351
468,4.871,0.024436863
469,3.728,0.018702654
470,3.929,0.019711032
471,3.871,0.019420057
472,4.308,0.021612402
473,4.076,0.020448502
474,4.036,0.02024783
475,4.281,0.021476948
476,4.196,0.021050519
477,4.076,0.020448502
478,3.804,0.019083931
479,4.121,0.020674259
480,3.795,0.01903878
481,3.781,0.018968545
482,3.732,0.018722721
483,3.866,0.019394973
484,4.464,0.022395023
485,3.312,0.016615662
486,4.433,0.022239502
487,3.96,0.019866553
488,3.527,0.017694276
489,4.17,0.020920082
490,4.254,0.021341494
491,3.804,0.019083931
492,3.879,0.019460192
493,3.982,0.019976923
494,3.79,0.019013696
495,3.665,0.018386595
496,4.384,0.021993679
497,3.906,0.019595645
498,3.496,0.017538755
499,4.004,0.020087292
500,4.045,0.020292981
501,4.429,0.022219435
502,3.964,0.01988662
503,4.152,0.02082978
504,3.826,0.019194301
505,4.004,0.020087292
506,4.357,0.021858225
507,4.018,0.020157528
508,4.335,0.021747855
509,3.804,0.019083931
510,4.013,0.020132444
511,3.567,0.017894948
512,4.196,0.021050519
513,3.969,0.019911704
514,4.219,0.021165906
515,4.161,0.020874931
516,4.188,0.021010385
517,3.795,0.01903878
518,4.161,0.020874931
519,3.737,0.018747805
520,4.344,0.021793007
521,3.719,0.018657503
522,4.107,0.020604023
523,4.085,0.020493654
524,3.866,0.019394973
525,3.96,0.019866553
526,3.888,0.019505343
527,3.844,0.019284603
528,3.96,0.019866553
529,4.054,0.020338133
530,3.728,0.018702654
531,4.469,0.022420107
532,3.705,0.018587267
533,3.562,0.017869864
534,3.692,0.018522049
535,4,0.020067225
536,4.018,0.020157528
537,3.674,0.018431746
538,4.424,0.022194351
539,4.08,0.02046857
540,3.696,0.018542116
541,4.576,0.022956906
